Date_Time	Data_Type	Process	 Fat	 SNF	Density	  Water	LTC	GSS		 
110623084747	D	MS	 4.60	 8.76	29.74	  0	27250	4
110623084846	D	MS	 3.09	 8.56	30.20	  0	27330	4
110623085004	D	MS	 3.29	 8.84	31.16	  0	27304	4
110623085111	D	MS	 5.00	 8.58	28.68	  0	27358	4
110623085158	D	MS	 3.96	 7.93	26.95	  6	27394	4
110623085250	D	MS	 3.39	 8.24	28.67	  2	27314	4
110623085352	D	MS	 3.65	 8.10	27.89	  4	27213	4
110623085524	D	MS	 3.70	 8.18	28.17	  3	27225	4
110623085641	D	MS	 3.71	 8.19	28.20	  3	27313	4
110623090827	D	MS	 3.21	 8.54	30.02	  0	27184	4
110623093745	D	CLN	 0.42	 1.87	 5.69	 73	26655	4
110623094251	C	25
110623094519	D	CLN	 0.13	 2.44	 8.21	 66	26689	4
110623095024	C	25
